timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-01-11T22:22:26,codecarbon,7f7cced5-a8b1-4ca1-987b-5e1bd43d6c07,5.481118679046631,9.999353646059111e-06,1.8243271550176267e-06,14.0,0.0,2.9050111770629883,2.1315461529625788e-05,0,4.409524825111551e-06,2.572498635473734e-05,The Netherlands,NLD,north holland,,,Windows-10-10.0.22621-SP0,3.9.12,2.3.2,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,,4.8812,52.3066,7.746696472167969,machine,N,1.0
2024-01-11T22:22:40,codecarbon,11e73bce-8698-448b-8c74-671ead4f3ab6,8.669211387634277,1.5813941730294887e-05,1.824149974339283e-06,14.0,0.0,2.9050111770629883,3.371359984079996e-05,0,6.970373306482239e-06,4.06839731472822e-05,The Netherlands,NLD,north holland,,,Windows-10-10.0.22621-SP0,3.9.12,2.3.2,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,,4.8812,52.3066,7.746696472167969,machine,N,1.0
2024-01-11T22:22:59,codecarbon,8728fbf7-318b-43e0-ba27-26671c2c0149,5.538643836975098,1.010405843061266e-05,1.8242838369854344e-06,14.0,0.0,2.9050111770629883,2.153917047712538e-05,0,4.4551862038607246e-06,2.5994356680986103e-05,The Netherlands,NLD,north holland,,,Windows-10-10.0.22621-SP0,3.9.12,2.3.2,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,,4.8812,52.3066,7.746696472167969,machine,N,1.0
2024-01-11T22:23:14,codecarbon,c3448b4a-9d6b-439c-bb20-08cb00f6bbba,8.489701986312866,1.5491190664842514e-05,1.8247037045372708e-06,14.0,0.0,2.9050111770629883,3.301550772455003e-05,0,6.838135078529225e-06,3.985364280307926e-05,The Netherlands,NLD,north holland,,,Windows-10-10.0.22621-SP0,3.9.12,2.3.2,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,,4.8812,52.3066,7.746696472167969,machine,N,1.0
2024-01-11T22:23:26,codecarbon,4e953ea6-0fdb-4dd5-a362-1243cf6d2f17,5.578414440155029,1.0177273300672687e-05,1.8244025089663024e-06,14.0,0.0,2.9050111770629883,2.1693833933936223e-05,0,4.4888800749257975e-06,2.6182714008862025e-05,The Netherlands,NLD,north holland,,,Windows-10-10.0.22621-SP0,3.9.12,2.3.2,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,,4.8812,52.3066,7.746696472167969,machine,N,1.0
2024-01-11T22:23:40,codecarbon,98389910-ea41-4f7a-a0d9-9182ed814a3f,8.444699048995972,1.54041211860475e-05,1.824117247597944e-06,14.0,0.0,2.9050111770629883,3.2840496301651005e-05,0,6.789145907670028e-06,3.962964220932103e-05,The Netherlands,NLD,north holland,,,Windows-10-10.0.22621-SP0,3.9.12,2.3.2,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,,4.8812,52.3066,7.746696472167969,machine,N,1.0
2024-01-11T22:23:58,codecarbon,48f0d743-5452-44aa-b3ca-c4e56f9a9946,5.47057580947876,9.979895469096228e-06,1.824286111126412e-06,14.0,0.0,2.9050111770629883,2.127446148130629e-05,0,4.400465504138159e-06,2.5674926985444448e-05,The Netherlands,NLD,north holland,,,Windows-10-10.0.22621-SP0,3.9.12,2.3.2,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,,4.8812,52.3066,7.746696472167969,machine,N,1.0
2024-01-11T22:24:13,codecarbon,aad2aef3-3d97-4547-a5f5-52ff5f2b1d8d,8.573880910873413,1.564483614639744e-05,1.8247088231137688e-06,14.0,0.0,2.9050111770629883,3.334287020895216e-05,0,6.906050934745167e-06,4.024892114369733e-05,The Netherlands,NLD,north holland,,,Windows-10-10.0.22621-SP0,3.9.12,2.3.2,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,,4.8812,52.3066,7.746696472167969,machine,N,1.0
2024-01-11T22:24:24,codecarbon,9cb0e54f-ed65-4da6-a51d-65d763a42392,5.293958902359009,9.629561766158418e-06,1.8189717645649737e-06,14.0,0.0,2.9050111770629883,2.052690320544773e-05,0,4.2467325519150255e-06,2.4773635757362755e-05,The Netherlands,NLD,north holland,,,Windows-10-10.0.22621-SP0,3.9.12,2.3.2,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,,4.8812,52.3066,7.746696472167969,machine,N,1.0
2024-01-11T22:24:39,codecarbon,19347028-79aa-410f-8c2e-66cb9536bb8d,8.751689910888672,1.5968615704359828e-05,1.824632255822045e-06,14.0,0.0,2.9050111770629883,3.403434965345595e-05,0,7.047547801046031e-06,4.108189745450198e-05,The Netherlands,NLD,north holland,,,Windows-10-10.0.22621-SP0,3.9.12,2.3.2,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,,4.8812,52.3066,7.746696472167969,machine,N,1.0
